cz,Name,College_Graduation_Rate_rP_gP_pall
cz38601,"Spokane, ID & WA",0.3439
cz22800,"Eau Claire, MN & WI",0.3439
cz23302,"Douglas, IL",0.3428
cz38901,"Eugene, OR",0.3425
cz12200,"Grand Rapids, MI",0.3417
cz24702,"Mexico, MO",0.3417
cz27006,"Mitchell, SD",0.3414
cz36700,"Eureka, CA",0.3414
cz7400,"Orlando, FL",0.3414
cz27702,"Cheyenne, NE & WY",0.3407
cz22300,"Ottumwa, IA",0.3407
cz4200,"Little Rock, AR",0.3406
cz28605,"Goodland, KS",0.3406
cz8800,"Savannah, GA & SC",0.3402
cz34901,"Albuquerque, NM",0.3401
cz13600,"South Bend, IN & MI",0.3401
cz36100,"Salt Lake City, UT",0.34
cz34202,"Shelby, MT",0.3399
cz20001,"Bangor, ME",0.3399
cz26303,"Turtle Mountain UT, ND",0.3394
cz26407,"Plentywood, MT",0.3394
cz30502,"Enid, OK",0.3391
cz2000,"Virginia Beach, NC & VA",0.3391
cz26901,"Fergus Falls, MN",0.339
cz27009,"Chamberlain, SD",0.3389
cz26003,"West Cook UT, MN",0.3389
cz100,"Johnson City, TN & VA",0.3387
cz16100,"State College, PA",0.3385
cz14500,"Lafayette, IL & IN",0.3383
cz31006,"Guymon, KS & OK & TX",0.3381
cz27704,"Gordon, NE & SD",0.338
cz37400,"Sacramento, CA & NV",0.338
cz2900,"Hattiesburg, MS",0.3378
cz25000,"Quincy, IL & MO",0.3375
cz13300,"Findlay, OH",0.3374
cz38802,"The Dalles, OR & WA",0.3371
cz29003,"Dodge City, KS",0.3371
cz39302,"Bellingham, WA",0.3369
cz20301,"Berlin, NH & VT",0.3368
cz15000,"Canton, OH",0.3367
cz29402,"Emporia, KS",0.3362
cz24801,"Jacksonville, IL",0.3361
cz22700,"Wausau, WI",0.336
cz29007,"Township 11, KS",0.336
cz17300,"Staunton, VA",0.3357
cz27502,"Creston, IA",0.3346
cz11402,"Marinette, MI & WI",0.334
cz12100,"Kalamazoo, MI",0.3335
cz12501,"Dayton, OH",0.3331
cz26602,"Sisseton, SD",0.3327
cz32601,"Wichita Falls, TX",0.3324
cz30802,"Lubbock, TX",0.3323
cz25500,"Centralia, IL",0.3321
cz7200,"Cape Coral, FL",0.332
cz15300,"Parkersburg, OH & WV",0.332
cz6401,"Chattanooga, GA & TN",0.3318
cz700,"Spartanburg, NC & SC",0.3318
cz5401,"Bowling Green, KY",0.3315
cz12302,"Petoskey, MI",0.3313
cz28607,"McCook, NE",0.331
cz21004,"Rhinelander, WI",0.3304
cz36800,"Medford, OR",0.3298
cz31001,"Garden City, KS",0.3297
cz18900,"Williamsport, PA",0.3295
cz35801,"Boise City, ID",0.3291
cz26107,"Kirksville, MO",0.3291
cz31004,"Liberal, KS & OK",0.3289
cz27007,"Huron, SD",0.3289
cz18500,"Amsterdam, NY",0.3288
cz11900,"Saginaw, MI",0.3287
cz31002,"Ulysses, KS",0.3283
cz35001,"Phoenix, AZ",0.3282
cz31900,"Pearland, TX",0.3281
cz36502,"Burns, OR",0.3271
cz30402,"Tulsa, OK",0.327
cz39100,"Kennewick, OR & WA",0.3269
cz19901,"Dover, DE & MD",0.3268
cz38501,"Moses Lake, WA",0.3261
cz35401,"Flagstaff, AZ & UT",0.3261
cz33803,"Oklahoma City, OK",0.3254
cz32501,"Abilene, TX",0.3253
cz1204,"Andrews, GA & NC",0.3253
cz39203,"Bend, OR",0.3252
cz6700,"Tampa, FL",0.3249
cz28306,"North Platte, NE",0.3249
cz8202,"Charleston, SC",0.3247
cz29005,"Hutchinson, KS",0.3247
cz1900,"Jacksonville, NC",0.3238
cz34201,"Havre, MT",0.3237
cz11101,"Montgomery, AL",0.3236
cz12800,"Washington, IN",0.323
cz12301,"Traverse City, MI",0.3227
cz30905,"Wellington, TX",0.3226
cz28201,"Red Oak, IA",0.3223
cz29403,"Bartlesville, KS & OK",0.3222
cz13900,"Center, IN",0.3222
cz27703,"Torrington, WY",0.3222
cz34601,"Gillette, WY",0.322
cz22900,"La Crosse, MN & WI",0.3219
cz21702,"Austin, MN",0.3219
cz38401,"Lewiston, ID & WA",0.3216
cz34305,"Miles City, MT",0.3212
cz10900,"Pensacola, FL",0.3211
cz34603,"Casper, WY",0.3208
cz8900,"Macon, GA",0.3207
cz28703,"Granby, CO",0.3205
cz17100,"Huntington, KY & OH & WV",0.3204
cz2200,"South Boston, VA",0.3199
cz12903,"Danville, KY",0.3198
cz14300,"Columbus, IN",0.3198
cz26409,"Glendive, MT & ND",0.3196
cz23301,"Charleston, IL",0.3196
cz24500,"Rolla, MO",0.3195
cz5202,"Memphis, MS & TN",0.3195
